signature	rank	gene	source	doi	source_table
NASH signature	1	SPP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	2	FBLN5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	3	CHI3L1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	4	CCL20	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	5	CD24	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	6	FABP4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	7	GPNMB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	8	VCAN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	9	EFEMP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	10	CXCL10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	11	DPT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	12	STMN2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	13	MMP7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	14	LUM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	15	AKR1B10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	16	THBS2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	17	BICC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	18	FABP5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	19	EPHA3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	20	LYZ	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
