table_sheet	public_workbook	notes
Index	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Index of supplementary tables
S1	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S2	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S3	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S4	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S5	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S6	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S7	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S8	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S9	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S10	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S11	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S12	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S13	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S14	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S15	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S16	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S17	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S18	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S19	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S20	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
S21	supplementary_tables/SUPPLEMENTARY_TABLES.xlsx	Supplementary table worksheet
