dataset_id	platform_id	signature	n_sig_genes_used	n_sig_genes_total	coverage
GSE48452	GPL11532	NASH signature	112	116	0.9655172413793104
GSE48452	GPL11532	Fibrosis signature	76	78	0.9743589743589743
GSE48452	GPL11532	NAFL signature	29	30	0.9666666666666667
GSE48452	GPL11532	Liver aging signature	30	30	1.0
GSE48452	GPL11532	HSC TGF-beta signature	29	30	0.9666666666666667
GSE48452	GPL11532	Hepatocytes	29	30	0.9666666666666667
GSE48452	GPL11532	Cholangiocytes	28	30	0.9333333333333333
GSE48452	GPL11532	B cells	27	30	0.9
GSE48452	GPL11532	CD4 T-cell signature	28	30	0.9333333333333333
GSE48452	GPL11532	CD8 T-cell signature	27	30	0.9
GSE48452	GPL11532	Endothelial cells	27	30	0.9
GSE48452	GPL11532	Kupffer cells	48	50	0.96
GSE48452	GPL11532	Macrophages	30	30	1.0
GSE48452	GPL11532	Monocytes	29	30	0.9666666666666667
GSE48452	GPL11532	NK cells	29	30	0.9666666666666667
GSE48452	GPL11532	CD14+Monocytes	10	10	1.0
GSE48452	GPL11532	CD16+Monocytes	20	20	1.0
GSE48452	GPL11532	Macrophages C0	8	10	0.8
GSE48452	GPL11532	Macrophages C1	20	20	1.0
GSE48452	GPL11532	Macrophages C2	18	20	0.9
GSE48452	GPL11532	Profibrotic Macrophages	19	20	0.95
GSE49541	GPL570	NASH signature	116	116	1.0
GSE49541	GPL570	Fibrosis signature	78	78	1.0
GSE49541	GPL570	NAFL signature	30	30	1.0
GSE49541	GPL570	Liver aging signature	30	30	1.0
GSE49541	GPL570	HSC TGF-beta signature	29	30	0.9666666666666667
GSE49541	GPL570	Hepatocytes	29	30	0.9666666666666667
GSE49541	GPL570	Cholangiocytes	29	30	0.9666666666666667
GSE49541	GPL570	B cells	29	30	0.9666666666666667
GSE49541	GPL570	CD4 T-cell signature	28	30	0.9333333333333333
GSE49541	GPL570	CD8 T-cell signature	28	30	0.9333333333333333
GSE49541	GPL570	Endothelial cells	29	30	0.9666666666666667
GSE49541	GPL570	Kupffer cells	48	50	0.96
GSE49541	GPL570	Macrophages	28	30	0.9333333333333333
GSE49541	GPL570	Monocytes	28	30	0.9333333333333333
GSE49541	GPL570	NK cells	27	30	0.9
GSE49541	GPL570	CD14+Monocytes	10	10	1.0
GSE49541	GPL570	CD16+Monocytes	19	20	0.95
GSE49541	GPL570	Macrophages C0	8	10	0.8
GSE49541	GPL570	Macrophages C1	20	20	1.0
GSE49541	GPL570	Macrophages C2	19	20	0.95
GSE49541	GPL570	Profibrotic Macrophages	18	20	0.9
GSE89632	GPL14951	NASH signature	114	116	0.9827586206896551
GSE89632	GPL14951	Fibrosis signature	77	78	0.9871794871794872
GSE89632	GPL14951	NAFL signature	30	30	1.0
GSE89632	GPL14951	Liver aging signature	28	30	0.9333333333333333
GSE89632	GPL14951	HSC TGF-beta signature	29	30	0.9666666666666667
GSE89632	GPL14951	Hepatocytes	28	30	0.9333333333333333
GSE89632	GPL14951	Cholangiocytes	30	30	1.0
GSE89632	GPL14951	B cells	26	30	0.8666666666666667
GSE89632	GPL14951	CD4 T-cell signature	27	30	0.9
GSE89632	GPL14951	CD8 T-cell signature	26	30	0.8666666666666667
GSE89632	GPL14951	Endothelial cells	27	30	0.9
GSE89632	GPL14951	Kupffer cells	49	50	0.98
GSE89632	GPL14951	Macrophages	29	30	0.9666666666666667
GSE89632	GPL14951	Monocytes	29	30	0.9666666666666667
GSE89632	GPL14951	NK cells	28	30	0.9333333333333333
GSE89632	GPL14951	CD14+Monocytes	10	10	1.0
GSE89632	GPL14951	CD16+Monocytes	20	20	1.0
GSE89632	GPL14951	Macrophages C0	9	10	0.9
GSE89632	GPL14951	Macrophages C1	19	20	0.95
GSE89632	GPL14951	Macrophages C2	18	20	0.9
GSE89632	GPL14951	Profibrotic Macrophages	19	20	0.95
GSE130970	GPL16791	NASH signature	115	116	0.9913793103448276
GSE130970	GPL16791	Fibrosis signature	78	78	1.0
GSE130970	GPL16791	NAFL signature	29	30	0.9666666666666667
GSE130970	GPL16791	Liver aging signature	29	30	0.9666666666666667
GSE130970	GPL16791	HSC TGF-beta signature	30	30	1.0
GSE130970	GPL16791	Hepatocytes	30	30	1.0
GSE130970	GPL16791	Cholangiocytes	30	30	1.0
GSE130970	GPL16791	B cells	27	30	0.9
GSE130970	GPL16791	CD4 T-cell signature	27	30	0.9
GSE130970	GPL16791	CD8 T-cell signature	26	30	0.8666666666666667
GSE130970	GPL16791	Endothelial cells	27	30	0.9
GSE130970	GPL16791	Kupffer cells	47	50	0.94
GSE130970	GPL16791	Macrophages	30	30	1.0
GSE130970	GPL16791	Monocytes	29	30	0.9666666666666667
GSE130970	GPL16791	NK cells	29	30	0.9666666666666667
GSE130970	GPL16791	CD14+Monocytes	10	10	1.0
GSE130970	GPL16791	CD16+Monocytes	20	20	1.0
GSE130970	GPL16791	Macrophages C0	9	10	0.9
GSE130970	GPL16791	Macrophages C1	20	20	1.0
GSE130970	GPL16791	Macrophages C2	20	20	1.0
GSE130970	GPL16791	Profibrotic Macrophages	20	20	1.0
GSE162694	GPL21290	NASH signature	112	116	0.9655172413793104
GSE162694	GPL21290	Fibrosis signature	75	78	0.9615384615384616
GSE162694	GPL21290	NAFL signature	26	30	0.8666666666666667
GSE162694	GPL21290	Liver aging signature	29	30	0.9666666666666667
GSE162694	GPL21290	HSC TGF-beta signature	30	30	1.0
GSE162694	GPL21290	Hepatocytes	30	30	1.0
GSE162694	GPL21290	Cholangiocytes	29	30	0.9666666666666667
GSE162694	GPL21290	B cells	27	30	0.9
GSE162694	GPL21290	CD4 T-cell signature	27	30	0.9
GSE162694	GPL21290	CD8 T-cell signature	27	30	0.9
GSE162694	GPL21290	Endothelial cells	27	30	0.9
GSE162694	GPL21290	Kupffer cells	46	50	0.92
GSE162694	GPL21290	Macrophages	30	30	1.0
GSE162694	GPL21290	Monocytes	29	30	0.9666666666666667
GSE162694	GPL21290	NK cells	26	30	0.8666666666666667
GSE162694	GPL21290	CD14+Monocytes	10	10	1.0
GSE162694	GPL21290	CD16+Monocytes	20	20	1.0
GSE162694	GPL21290	Macrophages C0	10	10	1.0
GSE162694	GPL21290	Macrophages C1	20	20	1.0
GSE162694	GPL21290	Macrophages C2	19	20	0.95
GSE162694	GPL21290	Profibrotic Macrophages	20	20	1.0
GSE135251	GPL18573	NASH signature	115	116	0.9913793103448276
GSE135251	GPL18573	Fibrosis signature	78	78	1.0
GSE135251	GPL18573	NAFL signature	29	30	0.9666666666666667
GSE135251	GPL18573	Liver aging signature	30	30	1.0
GSE135251	GPL18573	HSC TGF-beta signature	30	30	1.0
GSE135251	GPL18573	Hepatocytes	30	30	1.0
GSE135251	GPL18573	Cholangiocytes	30	30	1.0
GSE135251	GPL18573	B cells	28	30	0.9333333333333333
GSE135251	GPL18573	CD4 T-cell signature	30	30	1.0
GSE135251	GPL18573	CD8 T-cell signature	30	30	1.0
GSE135251	GPL18573	Endothelial cells	28	30	0.9333333333333333
GSE135251	GPL18573	Kupffer cells	48	50	0.96
GSE135251	GPL18573	Macrophages	30	30	1.0
GSE135251	GPL18573	Monocytes	29	30	0.9666666666666667
GSE135251	GPL18573	NK cells	29	30	0.9666666666666667
GSE135251	GPL18573	CD14+Monocytes	10	10	1.0
GSE135251	GPL18573	CD16+Monocytes	20	20	1.0
GSE135251	GPL18573	Macrophages C0	10	10	1.0
GSE135251	GPL18573	Macrophages C1	20	20	1.0
GSE135251	GPL18573	Macrophages C2	20	20	1.0
GSE135251	GPL18573	Profibrotic Macrophages	20	20	1.0
