feature	analysis	method	omitted_cohort	k	pooled_or	ci_lower	ci_upper	tau2	I2_percent	Q	df
endotype_1	all_cohorts	REML_HKSJ		6	1.5289601739338743	1.0847650630423669	2.1550465562740935	0.04253757878270866	26.415200309062037	6.794881580163837	5.0
endotype_1	all_cohorts	DL		6	1.5350045832793322	1.17826489510048	1.9997532647254346	0.02817750842524121	26.415200309062037	6.794881580163837	5.0
endotype_1	all_cohorts	iterated		6	1.5373284954902982	1.1883377720805988	1.9888107224838496	0.023989711946574836	26.415200309062016	6.794881580163835	5.0
endotype_1	leave_one_cohort_out	REML_HKSJ	GSE130970	5	1.6436666509872881	1.1210204314389591	2.4099828904098572	0.03489021453591876	17.932530433254392	4.87403842364945	4.0
endotype_1	leave_one_cohort_out	REML_HKSJ	GSE135251	5	1.44230637194318	0.897812201228219	2.3170187124903094	0.07415266769752354	32.434547895268764	5.920185354195095	4.0
endotype_1	leave_one_cohort_out	REML_HKSJ	GSE162694	5	1.3949567861202827	1.035873003549283	1.8785164093239635	0.02214468685677026	0.0	3.4859346589886058	4.0
endotype_1	leave_one_cohort_out	REML_HKSJ	GSE48452	5	1.5431476618820272	1.009565217253258	2.3587428188649615	0.05141514252135877	40.06619587237336	6.674029887177126	4.0
endotype_1	leave_one_cohort_out	REML_HKSJ	GSE49541	5	1.6611812828223322	1.1178752459732724	2.468543126202499	0.030191060424838625	14.52736747703702	4.679860537728687	4.0
endotype_1	leave_one_cohort_out	REML_HKSJ	GSE89632	5	1.5193397086810774	0.9852673726138202	2.3429103759430854	0.055833048958652605	41.11536382189126	6.792943388324883	4.0
endotype_2	all_cohorts	REML_HKSJ		6	0.8028208185621956	0.5193443451786159	1.2410287561621685	0.038866460065646015	45.59745718178069	9.190746867673084	5.0
endotype_2	all_cohorts	DL		6	0.7939290673559389	0.5776086972846908	1.09126363047473	0.06465102852772843	45.59745718178069	9.190746867673084	5.0
endotype_2	all_cohorts	iterated		6	0.784565057930869	0.5334449368174995	1.1539004077878334	0.12493884136840712	45.597457181780676	9.190746867673083	5.0
endotype_2	leave_one_cohort_out	REML_HKSJ	GSE130970	5	0.7842703664961573	0.4022390880564327	1.5291403198431166	0.1053150777625369	56.2527290273692	9.143427489459818	4.0
endotype_2	leave_one_cohort_out	REML_HKSJ	GSE135251	5	0.7348882132230377	0.37983718358556556	1.421821531099495	0.08300105332408127	49.38671052434699	7.903062696456743	4.0
endotype_2	leave_one_cohort_out	REML_HKSJ	GSE162694	5	0.7455270478738788	0.39965556911125694	1.3907239685100274	0.08079021659711925	53.9145830574703	8.67953523126015	4.0
endotype_2	leave_one_cohort_out	REML_HKSJ	GSE48452	5	0.8482734302522656	0.5555989215034445	1.2951209669824466	0.020610200518649036	39.62694257902297	6.62547197520292	4.0
endotype_2	leave_one_cohort_out	REML_HKSJ	GSE49541	5	0.9077290230284215	0.6462532681181063	1.2749985491718197	3.4279649034476394e-06	19.68129940200615	4.980160249380217	4.0
endotype_2	leave_one_cohort_out	REML_HKSJ	GSE89632	5	0.7681113758115153	0.48640458961042554	1.2129718720861615	0.04449284376201881	44.81118406782098	7.2478452969811125	4.0
endotype_3	all_cohorts	REML_HKSJ		6	0.6624675867973315	0.4670072548642242	0.9397355158533315	0.017917071032178714	31.158957492805182	7.263109066771371	5.0
endotype_3	all_cohorts	DL		6	0.6526843768577734	0.4980622867263897	0.855308476765359	0.033999303801365593	31.158957492805182	7.263109066771371	5.0
endotype_3	all_cohorts	iterated		6	0.6473583199790814	0.4840769933558097	0.8657151655586097	0.04749964616045066	31.15895749280517	7.263109066771369	5.0
endotype_3	leave_one_cohort_out	REML_HKSJ	GSE130970	5	0.6625017553059467	0.40248597296279903	1.090494092384253	0.039872890883001215	42.54321738519136	6.961754240254064	4.0
endotype_3	leave_one_cohort_out	REML_HKSJ	GSE135251	5	0.5909190402531502	0.37748018977608166	0.9250427481792838	3.927682636864312e-06	21.883805788440927	5.120577161205466	4.0
endotype_3	leave_one_cohort_out	REML_HKSJ	GSE162694	5	0.6316433980997063	0.37767693790397594	1.0563879928098303	0.05085420317065988	44.75746676383821	7.240797562450663	4.0
endotype_3	leave_one_cohort_out	REML_HKSJ	GSE48452	5	0.6982419329633262	0.5046140745150215	0.9661676547903119	0.005954102300713307	15.159512242504464	4.714730084335949	4.0
endotype_3	leave_one_cohort_out	REML_HKSJ	GSE49541	5	0.725597291818729	0.5203033514521812	1.0118932127291156	3.6370403296176274e-06	17.56660564535207	4.852402392640846	4.0
endotype_3	leave_one_cohort_out	REML_HKSJ	GSE89632	5	0.6341867519411438	0.43165247913295557	0.9317514801386705	0.02546729286226602	32.21092623783938	5.900655928762331	4.0
