dataset_id	platform_id	outcome	feature	effect_type	effect	ci_lower	ci_upper	pvalue	log_or	se	n	events	n_sig_genes_used
GSE48452	GPL11532	advanced_fibrosis_F3plus_vs_F0F2	endotype_1	OR_per_1SD	1.2774728398965907	0.4031631620110167	4.047832268536643	0.6772828795379903	0.2448837825147986	0.5884172004967884	69	3	59
GSE48452	GPL11532	advanced_fibrosis_F3plus_vs_F0F2	endotype_2	OR_per_1SD	0.33083162931752397	0.1041598808090051	1.050784295323667	0.06065704552950158	-1.1061457057796755	0.5896339484947163	69	3	58
GSE48452	GPL11532	advanced_fibrosis_F3plus_vs_F0F2	endotype_3	OR_per_1SD	0.28543256486516916	0.09583804145076064	0.8500982266772142	0.024343267235316466	-1.2537494779077138	0.5568092359847077	69	3	59
GSE49541	GPL570	advanced_fibrosis_F3plus_vs_F0F2	endotype_1	OR_per_1SD	1.1431285637488946	0.7148420015932074	1.8280164153004461	0.5765144898240412	0.1337688577077407	0.23952173224875298	72	32	60
GSE49541	GPL570	advanced_fibrosis_F3plus_vs_F0F2	endotype_2	OR_per_1SD	0.4795860873873205	0.2711459420386897	0.8482620594877266	0.011549737458779574	-0.7348318650332761	0.2909521461822106	72	32	59
GSE49541	GPL570	advanced_fibrosis_F3plus_vs_F0F2	endotype_3	OR_per_1SD	0.4479973971085018	0.25330610822047006	0.7923285752008314	0.005777156547190264	-0.8029678566096958	0.2909126281051027	72	32	60
GSE89632	GPL14951	advanced_fibrosis_F3plus_vs_F0F2	endotype_1	OR_per_1SD	1.5973503131930789	0.5803360876720244	4.396638563859255	0.3646019457911329	0.46834620221776213	0.5165786142749657	55	8	58
GSE89632	GPL14951	advanced_fibrosis_F3plus_vs_F0F2	endotype_2	OR_per_1SD	2.318642865518479	0.5469718847578714	9.828850234595862	0.253774005047659	0.8409820427562094	0.736908122253808	55	8	58
GSE89632	GPL14951	advanced_fibrosis_F3plus_vs_F0F2	endotype_3	OR_per_1SD	1.3125631580782198	0.43142160449407807	3.9933606152260235	0.6318590773576322	0.2719818347664389	0.5676792352495015	55	8	59
GSE130970	GPL16791	advanced_fibrosis_F3plus_vs_F0F2	endotype_1	OR_per_1SD	1.0763191806504904	0.6108909143818664	1.8963499887837436	0.799099052425255	0.07354705404402381	0.2889713908132355	78	16	59
GSE130970	GPL16791	advanced_fibrosis_F3plus_vs_F0F2	endotype_2	OR_per_1SD	0.7960337620752042	0.47830267845213414	1.324830026907359	0.3801019415784449	-0.2281136793698887	0.25989686173466175	78	16	59
GSE130970	GPL16791	advanced_fibrosis_F3plus_vs_F0F2	endotype_3	OR_per_1SD	0.5994831467386411	0.35955364003143164	0.9995171880119103	0.04977976556213143	-0.5116874171054846	0.2608186165949784	78	16	60
GSE162694	GPL21290	advanced_fibrosis_F3plus_vs_F0F2	endotype_1	OR_per_1SD	2.5019987813192492	1.4457952933037725	4.329795463241791	0.0010472012033092603	0.9170899249619666	0.2798114177602635	112	20	59
GSE162694	GPL21290	advanced_fibrosis_F3plus_vs_F0F2	endotype_2	OR_per_1SD	0.98384215678405	0.6074295956096029	1.5935104190866474	0.9472112598510979	-0.016289804569214167	0.2460353050586071	112	20	59
GSE162694	GPL21290	advanced_fibrosis_F3plus_vs_F0F2	endotype_3	OR_per_1SD	0.7074105585405747	0.4352751512893801	1.1496858868518123	0.16240532767081195	-0.3461440764802255	0.24777185697824533	112	20	60
GSE135251	GPL18573	advanced_fibrosis_F3plus_vs_F0F2	endotype_1	OR_per_1SD	1.7429672009737491	1.2788207515759942	2.3755750443730075	0.00043691473268873124	0.5555889487898323	0.1579849914979743	216	68	59
GSE135251	GPL18573	advanced_fibrosis_F3plus_vs_F0F2	endotype_2	OR_per_1SD	0.942886972556107	0.7086664386228679	1.2545194672174116	0.686474014091123	-0.058808862963883074	0.14569462631493713	216	68	59
GSE135251	GPL18573	advanced_fibrosis_F3plus_vs_F0F2	endotype_3	OR_per_1SD	0.7962830882294001	0.5987011239765617	1.0590705966755014	0.11744883254653697	-0.2278005178829825	0.14550624786108335	216	68	60
