endotype	rank	gene
endotype_1	1	APOA1
endotype_1	2	BGN
endotype_1	3	F2
endotype_1	4	POLRMT
endotype_1	5	CXCL12
endotype_1	6	PCSK6
endotype_1	7	COL1A1
endotype_1	8	TTR
endotype_1	9	ABCG5
endotype_1	10	SERPINF2
endotype_1	11	SLC27A5
endotype_1	12	SELENBP1
endotype_1	13	FGA
endotype_1	14	SERPINA1
endotype_1	15	LAMA4
endotype_1	16	GCGR
endotype_1	17	CPN1
endotype_1	18	HPN
endotype_1	19	MRPL18
endotype_1	20	PLA2G16
endotype_1	21	CD44
endotype_1	22	CTSD
endotype_1	23	FGG
endotype_1	24	COL3A1
endotype_1	25	ABLIM1
endotype_1	26	APOE
endotype_1	27	MST1
endotype_1	28	A2M
endotype_1	29	RPN2
endotype_1	30	ADAMTS10
endotype_1	31	THBS1
endotype_1	32	PCK1
endotype_1	33	LAMA5
endotype_1	34	TIMP3
endotype_1	35	AGT
endotype_1	36	COL4A2
endotype_1	37	ASNS
endotype_1	38	HIGD2A
endotype_1	39	KLF6
endotype_1	40	FGB
endotype_1	41	CYB5A
endotype_1	42	HNRNPA2B1
endotype_1	43	GGT5
endotype_1	44	HINT1
endotype_1	45	NR1H4
endotype_1	46	FBLN2
endotype_1	47	TGFB1
endotype_1	48	FGFR2
endotype_1	49	PROS1
endotype_1	50	PRSS53
endotype_1	51	F12
endotype_1	52	TMPRSS6
endotype_1	53	COL1A2
endotype_1	54	C9
endotype_1	55	HABP2
endotype_1	56	ADAM15
endotype_1	57	SERPING1
endotype_1	58	PLG
endotype_1	59	CYP2A6
endotype_1	60	HRG
endotype_2	1	AMBP
endotype_2	2	FGA
endotype_2	3	FGB
endotype_2	4	FGG
endotype_2	5	CYP2E1
endotype_2	6	C3
endotype_2	7	HRG
endotype_2	8	SERPINC1
endotype_2	9	SERPINA1
endotype_2	10	ITIH4
endotype_2	11	TTR
endotype_2	12	FN1
endotype_2	13	CFB
endotype_2	14	APOB
endotype_2	15	C9
endotype_2	16	SLC2A2
endotype_2	17	SERPING1
endotype_2	18	KNG1
endotype_2	19	APOE
endotype_2	20	SERPINF1
endotype_2	21	APOA1
endotype_2	22	GHR
endotype_2	23	MPC2
endotype_2	24	TDO2
endotype_2	25	ADH6
endotype_2	26	PLG
endotype_2	27	C5
endotype_2	28	CTSS
endotype_2	29	SCD
endotype_2	30	CTSB
endotype_2	31	PCK1
endotype_2	32	AKR1C3
endotype_2	33	A2M
endotype_2	34	CYB5A
endotype_2	35	F9
endotype_2	36	LBP
endotype_2	37	C8B
endotype_2	38	RPS13
endotype_2	39	CFI
endotype_2	40	PON3
endotype_2	41	PLPP3
endotype_2	42	HMGCL
endotype_2	43	ATP5G3
endotype_2	44	SEC11C
endotype_2	45	ITIH1
endotype_2	46	IGFBP3
endotype_2	47	ARG1
endotype_2	48	SDC1
endotype_2	49	CTSH
endotype_2	50	CYP2A6
endotype_2	51	KLKB1
endotype_2	52	GPX2
endotype_2	53	DCN
endotype_2	54	ACSM3
endotype_2	55	IFNAR1
endotype_2	56	UBL5
endotype_2	57	HINT1
endotype_2	58	AOX1
endotype_2	59	AKR1A1
endotype_2	60	EIF3E
endotype_3	1	APOA1
endotype_3	2	TTR
endotype_3	3	FGA
endotype_3	4	AMBP
endotype_3	5	FGG
endotype_3	6	SERPINA1
endotype_3	7	CYP2E1
endotype_3	8	FGB
endotype_3	9	APOE
endotype_3	10	HRG
endotype_3	11	SERPINF2
endotype_3	12	ITIH4
endotype_3	13	KNG1
endotype_3	14	PLG
endotype_3	15	CYB5A
endotype_3	16	C9
endotype_3	17	SERPINC1
endotype_3	18	F2
endotype_3	19	SERPING1
endotype_3	20	PCK1
endotype_3	21	C3
endotype_3	22	SERPINF1
endotype_3	23	CYP2A6
endotype_3	24	CFB
endotype_3	25	APOB
endotype_3	26	AOX1
endotype_3	27	ITIH1
endotype_3	28	FN1
endotype_3	29	AGT
endotype_3	30	ARG1
endotype_3	31	TDO2
endotype_3	32	A2M
endotype_3	33	SLC2A2
endotype_3	34	HNRNPA2B1
endotype_3	35	MST1
endotype_3	36	HABP2
endotype_3	37	PCSK6
endotype_3	38	HINT1
endotype_3	39	ADH6
endotype_3	40	CTSD
endotype_3	41	PROS1
endotype_3	42	RXRA
endotype_3	43	IGFBP3
endotype_3	44	PON3
endotype_3	45	SELENBP1
endotype_3	46	HPN
endotype_3	47	APOA5
endotype_3	48	COL18A1
endotype_3	49	KLKB1
endotype_3	50	F12
endotype_3	51	GHR
endotype_3	52	C5
endotype_3	53	C8B
endotype_3	54	NR1H4
endotype_3	55	SLC27A5
endotype_3	56	ABCG5
endotype_3	57	GJB1
endotype_3	58	SCD
endotype_3	59	CTSZ
endotype_3	60	F9
