endotype	rank	gene	weight
endotype_1	1	APOA1	3.942389485237978
endotype_1	2	BGN	3.784522587139255
endotype_1	3	F2	3.691867995751393
endotype_1	4	POLRMT	3.4869429133611307
endotype_1	5	CXCL12	3.4527885291208666
endotype_1	6	PCSK6	3.452576002218025
endotype_1	7	COL1A1	3.418425554673545
endotype_1	8	TTR	3.3700595888916562
endotype_1	9	ABCG5	3.3422734650174735
endotype_1	10	SERPINF2	3.314859406379856
endotype_1	11	SLC27A5	3.308390621745937
endotype_1	12	SELENBP1	3.234568636068866
endotype_1	13	FGA	3.1918006758477215
endotype_1	14	SERPINA1	3.191404050653819
endotype_1	15	LAMA4	3.1660718832851162
endotype_1	16	GCGR	3.1571204933913957
endotype_1	17	CPN1	3.137998689490511
endotype_1	18	HPN	3.115144749254181
endotype_1	19	MRPL18	3.1080746445524934
endotype_1	20	PLA2G16	3.068426197001618
endotype_1	21	CD44	3.0280498395188404
endotype_1	22	CTSD	2.9835439001196398
endotype_1	23	FGG	2.981140094689922
endotype_1	24	COL3A1	2.9607425415865603
endotype_1	25	ABLIM1	2.9477440582102683
endotype_1	26	APOE	2.9461896196363293
endotype_1	27	MST1	2.929445432222423
endotype_1	28	A2M	2.92392411751158
endotype_1	29	RPN2	2.9034718919872327
endotype_1	30	ADAMTS10	2.900620997245026
endotype_1	31	THBS1	2.8907990143590445
endotype_1	32	PCK1	2.8627492265462333
endotype_1	33	LAMA5	2.8582460075012754
endotype_1	34	TIMP3	2.8540113117285606
endotype_1	35	AGT	2.853064089181646
endotype_1	36	COL4A2	2.8518399657771285
endotype_1	37	ASNS	2.841787628312344
endotype_1	38	HIGD2A	2.832334892205468
endotype_1	39	KLF6	2.8310149685617327
endotype_1	40	FGB	2.818281399322514
endotype_1	41	CYB5A	2.814798682068698
endotype_1	42	HNRNPA2B1	2.814320928279956
endotype_1	43	GGT5	2.8131272948997332
endotype_1	44	HINT1	2.8032367365918702
endotype_1	45	NR1H4	2.792740255626136
endotype_1	46	FBLN2	2.7841497453229858
endotype_1	47	TGFB1	2.781271256742803
endotype_1	48	FGFR2	2.7543559730326446
endotype_1	49	PROS1	2.7437027731583927
endotype_1	50	PRSS53	2.7240954533595914
endotype_1	51	F12	2.7166325543771275
endotype_1	52	TMPRSS6	2.7031986925096514
endotype_1	53	COL1A2	2.690065879106275
endotype_1	54	C9	2.686797839948949
endotype_1	55	HABP2	2.678665851177654
endotype_1	56	ADAM15	2.6739491966273836
endotype_1	57	SERPING1	2.669059634816853
endotype_1	58	PLG	2.6686100115351095
endotype_1	59	CYP2A6	2.666554119221501
endotype_1	60	HRG	2.6579402305567346
endotype_2	1	AMBP	8.276612622309932
endotype_2	2	FGA	7.96584239567182
endotype_2	3	FGB	7.90195083161533
endotype_2	4	FGG	7.842270248389071
endotype_2	5	CYP2E1	7.55833312336266
endotype_2	6	C3	7.435413681677872
endotype_2	7	HRG	7.338933240743095
endotype_2	8	SERPINC1	7.143671960740573
endotype_2	9	SERPINA1	6.9888715520781926
endotype_2	10	ITIH4	6.847396135998384
endotype_2	11	TTR	6.832998996194761
endotype_2	12	FN1	6.820353094182971
endotype_2	13	CFB	6.818223434243191
endotype_2	14	APOB	6.6555185300958595
endotype_2	15	C9	6.645773628989214
endotype_2	16	SLC2A2	6.5649238027936345
