atlas_dataset_id	endotype	cell_type	n_cells	n_genes_target	n_genes_found	mean_expr	mean_z	mean_pct_expr
GSE115469	endotype_1	Hepatocyte 1	1006	50	50	1.4542361994597237	0.5123416576323707	0.44882703777335986
GSE115469	endotype_1	alpha-beta T Cells	961	50	50	0.330453500611849	-0.4539964979208332	0.16905306971904266
GSE115469	endotype_1	Hepatocyte 2	909	50	50	1.2440830225558956	0.35865967599334647	0.4409240924092409
GSE115469	endotype_1	Inflammatory Macrophage	813	50	50	0.3881785930249598	-0.3999160672163499	0.19908979089790896
GSE115469	endotype_1	Hepatocyte 3	629	50	50	1.5772481716986868	0.6252165363717965	0.3552941176470588
GSE115469	endotype_1	Hepatocyte 4	603	50	50	1.5122009998154677	0.6830629411919058	0.39124378109452734
GSE115469	endotype_1	Plasma Cells	511	50	50	0.3677294447647732	-0.3946843244956484	0.1929549902152642
GSE115469	endotype_1	NK-like Cells	488	50	50	0.31656271036286826	-0.4423544875346041	0.1816393442622951
GSE115469	endotype_1	gamma-delta T Cells 1	464	50	50	0.35058246121067427	-0.39808768004586087	0.15788793103448276
GSE115469	endotype_1	Non-inflammatory Macrophage	379	50	50	0.44471542409982406	-0.2888175864382785	0.2392084432717678
GSE115469	endotype_1	Periportal LSECs	327	50	50	0.30622075010968275	-0.28302749419144435	0.2500917431192661
GSE115469	endotype_1	Central venous LSECs	306	50	50	0.35323811666930427	-0.3213152146658328	0.2227450980392157
GSE115469	endotype_1	Portal endothelial Cells	211	50	50	0.33772243003886177	-0.2010176064983319	0.2548815165876777
GSE115469	endotype_1	Hepatocyte 5	202	50	50	1.5194957281117982	0.6954561799726764	0.5086138613861386
GSE115469	endotype_1	Hepatocyte 6	152	50	50	1.484013485085023	0.39704302224258287	0.2728947368421053
GSE115469	endotype_1	Mature B Cells	129	50	50	0.2993635528725247	-0.5869196105553519	0.13953488372093023
GSE115469	endotype_1	Cholangiocytes	119	50	50	0.39426291400519736	-0.2611887905836087	0.31243697478991594
GSE115469	endotype_1	gamma-delta T Cells 2	105	50	50	0.25246358526320684	-0.4795514992112728	0.23580952380952383
